Comune;Provincia;Nome;Descrizione;Scheda;Immagine;Descrizione immagine;Sottofamiglia;Indirizzo;Localita;Redazione locale;Data di esportazione;Latitudine;Longitudine
AGAZZANO;PIACENZA;ROCCA e CASTELLO di AGAZZANO;Complesso fortificato in cui l'austerità medioevale si fonde con l'eleganza della dimora rinascimentale. La Rocca, risale al sec.XII , ha pianta rettangolare con basse torri quadrate e rotonde. E' separata, tramite un ampio fossato adibito a...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6145&category_id=229&Itemid=234&lang=it;http://turismo.provincia.piacenza.it/images/stories/scopri-territorio/arte-cultura/castello-agazzano.jpg;ROCCA e CASTELLO di AGAZZANO;CASTELLI, TORRI, CAMPANILI;via del Castello - Agazzano (PC);;Piacenza;42184;44.947254;9.522221
AGAZZANO;PIACENZA;SANTUARIO DI NOSTRA SIGNORA DEL PILASTRELLO;Situato in territorio di Agazzano, sulle rive del torrente Luretta. Il piccolo santuario, firmato dall'architetto Camillo Guidotti, risale all 1902 e presenta il tipico impianto ottagonale. A fianco del santuario esistono ancora le costruzioni, oggi...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6304&category_id=238&Itemid=225&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;SANTUARIO DI NOSTRA SIGNORA DEL PILASTRELLO;ABBAZIE, MONASTERI, SANTUARI;località Pilastrello - Agazzano (PC);;Piacenza;42184;44.942363;9.527886
ALSENO;PIACENZA;ABBAZIA DI CHIARAVALLE DELLA COLOMBA;L'Abbazia fu edificata su sollecitazione di San Bernardo da Chiaravalle e della famiglia Pallavicino intorno al 1135 e dedicata a Santa Maria Assunta. Fu sicuramente uno dei più vivi centri della spiritualità cistercense in Italia. Dell'antico...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6247&category_id=238&Itemid=225&lang=it;http://turismo.provincia.piacenza.it/images/stories/scopri-territorio/arte-cultura/chiaravalle.jpg;ABBAZIA DI CHIARAVALLE DELLA COLOMBA;ABBAZIE, MONASTERI, SANTUARI;Via Centro, 35 - Alseno (PC);;Piacenza;42184;44.926313;9.973011
ALSENO;PIACENZA;CASTELLO DI CASTELNUOVO FOGLIANI;Posto sulla sommità di un piccolo colle isolato a diretto contatto con la pianura e prossimo alla via Emilia, il castello esercitava un efficace controllo visivo di un vasto territorio circostante. Ad eccezione della torre, la radicale...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6235&category_id=229&Itemid=234&lang=it;http://turismo.provincia.piacenza.it/images/stories/scopri-territorio/arte-cultura/loccastelnuovo.jpg;CASTELLO DI CASTELNUOVO FOGLIANI;CASTELLI, TORRI, CAMPANILI;Via della Posta - Alseno (PC);;Piacenza;42184;44.87564;9.975886
BETTOLA;PIACENZA;CAPPELLA DELL'APPARIZIONE;La Cappella venne costruita nel 1954 in località i Frati, nei pressi dell'ex prigione mandamentale, nel luogo dell'apparizione della Beata Vergine della Quercia avvenuto nel 1496. Nella Cappella il bel mosaico di Luciano Ricchetti ove si narra la...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=8760&category_id=236&Itemid=227&lang=it;http://turismo.provincia.piacenza.it/images/stories/cappella apparizione bettola.jpg;CAPPELLA DELL'APPARIZIONE;CAPPELLE, ORATORI, TABERNACOLI;Località i Frati - Bettola (PC);;Piacenza;42184;;
BETTOLA;PIACENZA;CASA TORRE DI CRISTOFORO COLOMBO;Bettola vanta i natali di Cristoforo Colombo: secondo la tradizione esiste a Pradello la sua abitazione: si tratta di una caratteristica casa - torre medioevale. Sono costruzioni caratteristiche delle zone montane: dall'aspetto appunto simile a...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6148&category_id=230&Itemid=233&lang=it;http://turismo.provincia.piacenza.it/images/stories/scopri-territorio/arte-cultura/pradello.jpg;CASA TORRE DI CRISTOFORO COLOMBO;VILLE , DIMORE, TEATRI STORICI;loc. Pradello, - Bettola (PC);;Piacenza;42184;44.791411;9.577961
BETTOLA;PIACENZA;LA CAMINATA;Si tratta di un fortilizio medioevale, probabilmente opera dei Nicelli (padroni di queste zone fin dal quattrocento), la cui struttura è stata alleggerita da leggeri loggiati cinquecenteschi nella parte alta: il loggiato mitiga l'aspetto dei...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6166&category_id=229&Itemid=234&lang=it;http://turismo.provincia.piacenza.it/images/stories/scopri-territorio/arte-cultura/lacaminatabett.jpg;LA CAMINATA;CASTELLI, TORRI, CAMPANILI;loc. Caminata - Bettola (PC);;Piacenza;42184;44.759692;9.608889
BETTOLA;PIACENZA;MUSEO DI CRISTOFORO COLOMBO;La tradizione vuole che a Pradello in una casa - torre (caratteristiche case delle zone montane: con piccole stanze una sopra l'altra , dall'aspetto appunto simile a piccole torri, realizzate in sassi) vi abbia abitato la famiglia Colombo: in questo...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6167&category_id=239&Itemid=224&lang=it;http://turismo.provincia.piacenza.it/images/stories/scopri-territorio/arte-cultura/pradello.jpg;MUSEO DI CRISTOFORO COLOMBO;MUSEI, GALLERIE;c/o casa torre di C.Colombo - Bettola (PC);;Piacenza;42184;;
BETTOLA;PIACENZA;SANTUARIO DELLA BEATA VERGINE DELLA QUERCIA;La costruzione, terminata nel 1884, celebra l'apparizione della Vergine avvenuta nel 1496. L'edificio, progettato da Guglielmo della Cella, è in stile neo romanico con la facciata in sassi bianchi e neri. All'interno, il Santuario custodisce...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=8755&category_id=238&Itemid=225&lang=it;http://turismo.provincia.piacenza.it/images/stories/scopri-territorio/chiesa madonna della quercia.jpg;SANTUARIO DELLA BEATA VERGINE DELLA QUERCIA;ABBAZIE, MONASTERI, SANTUARI;Piazza Cristoforo Colombo - Bettola (PC);;Piacenza;42184;;
BETTOLA;PIACENZA;STATUA DI CRISTOFORO COLOMBO;"Bettola ricorda i natali di Cristoforo Colombo con una statua posta nell'omonima grande piazza, al centro del paese; la statua è stata eretta nel 1892 in occasione del 400° anno dalla scoperta dell' America nel 1492.";http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=6371&category_id=222&Itemid=241&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;STATUA DI CRISTOFORO COLOMBO;OPERE ARTISTICHE;piazza Colombo - Bettola (PC);;Piacenza;42184;44.775849;9.605201
