Comune;Provincia;Nome;Descrizione;Scheda;Immagine;Descrizione immagine;Sottofamiglia;Indirizzo;Localita;Redazione locale;Data di esportazione;Latitudine;Longitudine
ALSENO;PIACENZA;AGRITURISMO LA RONDANINA;Ambiente esclusivo dove assaporare le gustose pietanze della tradizione.Specialità: pisarei e fasò, gambotto di maialePrezzo medio: 25,00 -30,00 ?;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=7926&category_id=386&Itemid=378&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;AGRITURISMO LA RONDANINA;RISTORANTI, PIZZERIE, AGRITURISMI;Via Sandrone 231 - Alseno (PC);;Piacenza;42184;44.873724;9.966273
ALSENO;PIACENZA;AGRITURISMO MONTA' DELL'ORTO;Cucina tipica.Prezzo medio: 30,00 Euro;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=7868&category_id=386&Itemid=378&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;AGRITURISMO MONTA' DELL'ORTO;RISTORANTI, PIZZERIE, AGRITURISMI;Strada Salsediana 3573 - Alseno (PC);;Piacenza;42184;44.872781;9.974384
ALSENO;PIACENZA;RISTORANTE IL COLLE;Ristorante con Pizzeria e PiscinaMercoledi sera : serate a tema Venerdi sera : discoteca;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=4762&category_id=284&Itemid=283&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;RISTORANTE IL COLLE;RISTORANTI, PIZZERIE, AGRITURISMI;Castelnuovo Fogliani - Alseno (PC);;Piacenza;42184;44.8517;9.950469
BESENZONE;PIACENZA;AGRITURISMO LE COLOMBAIE;Un?antica dimora rurale sapientemente restaurata con classe e raffinatezza, diventa luogo ideale per concedersi una sosta tranquilla, in fuga dalla città e dai ritmi quotidiani. Presso il nostro ristorante tipico, immerso nelle Terre Verdiane, ...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=4834&category_id=386&Itemid=378&lang=it;http://turismo.provincia.piacenza.it/images/stories/dormire/agriturismibb/colombaie esterno complessivo.jpg;AGRITURISMO LE COLOMBAIE;RISTORANTI, PIZZERIE, AGRITURISMI;Via Bersano, 32, 29010 - Besenzone (PC);;Piacenza;42184;44.980919;10.015841
BESENZONE;PIACENZA;LA FIASCHETTERIA;Nelle Terre Verdiane, a 1,5 km da Villa Verdi. Cucina innovativa con alcuni piatti tradizionaliPrezzo medio: 60,00 ?Specialità culatello e savarin di riso. Menù stagionale;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=5136&category_id=284&Itemid=283&lang=it;http://turismo.provincia.piacenza.it/media/zoo/applications/business/templates/default/assets/images/no_img.png;LA FIASCHETTERIA;RISTORANTI, PIZZERIE, AGRITURISMI;Via Bersano 59 bis - Besenzone (PC);;Piacenza;42184;44.983575;10.01054
BOBBIO;PIACENZA;AGRITURISMO CA' DEL SARTU';Claudio e Loretta vi aspetttano per farvi gustare i piatti tipici della cucina piacentina, da abbinare al vino prodotto direttamente nella cantina dell'agriturismo.Prezzo medio pasto: Euro 25/30,00Possibilità di pernottamento.;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=7910&category_id=386&Itemid=378&lang=it;http://turismo.provincia.piacenza.it/images/stories/dormire/agriturismibb/cadelsartu.jpg;AGRITURISMO CA' DEL SARTU';RISTORANTI, PIZZERIE, AGRITURISMI;Cà del Sartù, Mezzano Scotti - Bobbio (PC);;Piacenza;42184;44.816215;9.450724
BOBBIO;PIACENZA;AGRITURISMO CASCINA MORINA;L'agriturismo si trova a Bobbio in Valtrebbia a 410 mt s.l.m. , su un promontorio con un'incantevole panorama che domina la ciittà , il corso del fiume e la vallata. Situata in uno scenario naturalistico incontaminato , nella pace e nella...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=8314&category_id=386&Itemid=378&lang=it;http://turismo.provincia.piacenza.it/images/stories/dormire/agriturismibb/agr cascina morina.jpg;AGRITURISMO CASCINA MORINA;RISTORANTI, PIZZERIE, AGRITURISMI;località Morina 1 - Bobbio (PC);;Piacenza;42184;44.784179;9.393857
BOBBIO;PIACENZA;AGRITURISMO SAN MARTINO;L'agriturismo è situato a circa 1 Km dal centro di Bobbio e a poche centinaia di metri dal fiume Trebbia. Il complesso è frutto della sapiente ristrutturazione di una piccola corte risalente al 1200. L'azienda è a conduzione famigliare e produce...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=4636&category_id=386&Itemid=378&lang=it;http://turismo.provincia.piacenza.it/images/stories/mangiare/agriturismo/agrsmartino.jpg;AGRITURISMO SAN MARTINO;RISTORANTI, PIZZERIE, AGRITURISMI;loc. San Martino - Bobbio (PC);;Piacenza;42184;44.755354;9.377021
BOBBIO;PIACENZA;ALBERGO RISTORANTE DEI CACCIATORI;Nel 1909 la famiglia Mozzi ha trasformato la stabile a guardia del ponte Vecchio ,detto anche gobbo, emblema e patrimonio storico della città nella trattoria dei Cacciatori .Negli anni successivi venne adibita anche ad Albergo. Oggi lo stabile...;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=4617&category_id=284&Itemid=283&lang=it;http://turismo.provincia.piacenza.it/images/stories/mangiare/alberg-ristora/albcacciatoribobbiorist.jpg;ALBERGO RISTORANTE DEI CACCIATORI;RISTORANTI, PIZZERIE, AGRITURISMI;Contrada di Porta Agazza, 7 - Bobbio (PC);;Piacenza;42184;44.767551;9.387527
BOBBIO;PIACENZA;ALBERGO RISTORANTE FILIETTO;Conduzione familiare, ambiente curato. In posizione panoramica e tranquilla a mt 630 di altezza. Ampie sale indicate per banchetti e comitive. Prezzo medieo Euro 25,00 - Euro 35,00 a persona.;http://turismo.provincia.piacenza.it/index.php?option=com_zoo&task=item&item_id=4619&category_id=284&Itemid=283&lang=it;http://turismo.provincia.piacenza.it/images/stories/dormire/filietto2012.jpg;ALBERGO RISTORANTE FILIETTO;RISTORANTI, PIZZERIE, AGRITURISMI;loc. Costa Tamborlani, 1 - Bobbio (PC);;Piacenza;42184;44.833588;9.436901
